1/26 10:4:55, 0.0 PSI
1/26 19:57:49, 5.5 PSI
1/26 19:57:52, 5.6 PSI
1/26 19:57:55, 5.6 PSI
1/26 19:57:58, 5.6 PSI
1/26 19:58:1, 5.6 PSI
1/26 19:58:5, 5.6 PSI
1/26 19:58:8, 5.6 PSI
1/26 19:58:11, 5.7 PSI
1/26 19:58:14, 5.7 PSI
1/26 19:58:17, 5.7 PSI
1/26 19:58:21, 5.6 PSI
1/26 19:58:24, 5.6 PSI
1/26 19:58:27, 5.6 PSI
1/26 19:58:30, 5.6 PSI
1/26 19:58:33, 5.6 PSI
1/26 19:58:36, 5.6 PSI
1/26 19:58:40, 5.6 PSI
1/26 19:58:43, 5.6 PSI
1/26 19:58:46, 5.6 PSI
1/26 19:58:49, 5.6 PSI
1/26 19:58:52, 5.6 PSI
1/26 19:58:56, 5.6 PSI
1/26 19:58:59, 5.6 PSI
1/26 19:59:2, 5.6 PSI
1/26 19:59:5, 5.6 PSI
1/26 19:59:8, 5.6 PSI
1/26 19:59:12, 5.6 PSI
1/26 19:59:15, 5.6 PSI
1/26 19:59:18, 5.6 PSI
1/26 19:59:21, 5.6 PSI
1/26 19:59:24, 5.6 PSI
1/26 19:59:28, 5.7 PSI
1/26 19:59:31, 5.6 PSI
1/26 19:59:34, 5.6 PSI
1/26 19:59:37, 5.7 PSI
1/26 19:59:40, 5.6 PSI
1/26 19:59:44, 5.6 PSI
1/26 19:59:47, 5.6 PSI
1/26 19:59:50, 5.6 PSI
1/26 19:59:53, 5.4 PSI
1/26 19:59:56, 5.4 PSI
1/26 20:0:0, 5.4 PSI
1/26 20:0:3, 5.4 PSI
1/26 20:0:6, 5.4 PSI
1/26 20:0:9, 5.4 PSI
1/26 20:0:12, 5.4 PSI
1/26 20:0:16, 5.3 PSI
1/26 20:0:19, 5.3 PSI
1/26 20:0:22, 5.3 PSI
1/26 20:0:25, 5.3 PSI
1/26 20:0:29, 5.3 PSI
1/26 20:0:32, 5.3 PSI
1/26 20:0:35, 5.3 PSI
1/26 20:0:38, 5.3 PSI
1/26 20:0:41, 5.3 PSI
1/26 20:0:45, 5.3 PSI
1/26 20:0:48, 5.3 PSI
1/26 20:0:51, 5.3 PSI
1/26 20:0:54, 5.2 PSI
1/26 20:0:58, 5.2 PSI
1/26 20:1:1, 5.2 PSI
1/26 20:1:4, 5.3 PSI
1/26 20:1:7, 5.2 PSI
1/26 20:1:10, 5.3 PSI
1/26 20:1:13, 5.3 PSI
1/26 20:1:17, 5.2 PSI
1/26 20:1:20, 5.2 PSI
1/26 20:1:23, 5.3 PSI
1/26 20:1:26, 5.2 PSI
1/26 20:1:29, 5.2 PSI
1/26 20:1:33, 5.2 PSI
1/26 20:1:36, 5.1 PSI
1/26 20:1:39, 5.2 PSI
1/26 20:1:42, 5.2 PSI
1/26 20:1:45, 5.3 PSI
1/26 20:1:49, 5.3 PSI
1/26 20:1:52, 5.3 PSI
1/26 20:1:55, 5.3 PSI
1/26 20:1:58, 5.3 PSI
1/26 20:2:1, 5.3 PSI
1/26 20:2:5, 5.3 PSI
1/26 20:2:8, 5.1 PSI
1/26 20:2:11, 5.2 PSI
1/26 20:2:14, 5.2 PSI
1/26 20:2:17, 5.2 PSI
1/26 20:2:21, 5.2 PSI
1/26 20:2:24, 5.1 PSI
1/26 20:2:27, 5.2 PSI
1/26 20:2:30, 5.2 PSI
1/26 20:2:33, 5.2 PSI
1/26 20:2:37, 5.2 PSI
1/26 20:2:40, 5.3 PSI
1/26 20:2:43, 5.3 PSI
1/26 20:2:46, 5.3 PSI
1/26 20:2:49, 5.3 PSI
1/26 20:2:52, 5.3 PSI
1/26 20:2:56, 5.2 PSI
1/26 20:2:59, 5.3 PSI
1/26 20:3:2, 5.2 PSI
1/26 20:3:5, 5.2 PSI
1/26 20:3:8, 5.2 PSI
1/26 20:3:12, 5.3 PSI
1/26 20:3:15, 5.3 PSI
1/26 20:3:18, 5.3 PSI
1/26 20:3:21, 5.3 PSI
1/26 20:3:24, 5.3 PSI
1/26 20:3:28, 5.4 PSI
1/26 20:3:31, 5.4 PSI
1/26 20:3:34, 5.4 PSI
1/26 20:3:37, 5.4 PSI
1/26 20:3:40, 5.4 PSI
1/26 20:3:44, 5.5 PSI
1/26 20:3:47, 5.5 PSI
1/26 20:3:50, 5.5 PSI
1/26 20:3:53, 5.6 PSI
1/26 20:3:56, 5.6 PSI
1/26 20:4:0, 5.6 PSI
1/26 20:4:3, 5.6 PSI
1/26 20:4:6, 5.6 PSI
1/26 20:4:9, 5.6 PSI
1/26 20:4:12, 5.6 PSI
1/26 20:4:16, 5.6 PSI
1/26 20:4:19, 5.6 PSI
1/26 20:4:22, 5.6 PSI
1/26 20:4:25, 5.7 PSI
1/26 20:4:28, 5.8 PSI
1/26 20:4:32, 5.7 PSI
1/26 20:4:35, 5.8 PSI
1/26 20:4:38, 5.8 PSI
1/26 20:4:41, 5.8 PSI
1/26 20:4:44, 5.8 PSI
1/26 20:4:47, 5.8 PSI
1/26 20:4:51, 5.8 PSI
1/26 20:4:54, 5.8 PSI
1/26 20:4:57, 5.8 PSI
1/26 20:5:0, 5.8 PSI
1/26 20:5:3, 5.8 PSI
1/26 20:5:7, 5.8 PSI
1/26 20:5:10, 5.8 PSI
1/26 20:5:13, 5.8 PSI
1/26 20:5:16, 5.9 PSI
1/26 20:5:19, 5.9 PSI
1/26 20:5:23, 5.9 PSI
1/26 20:5:26, 5.9 PSI
1/26 20:5:29, 6.0 PSI
1/26 20:5:32, 6.0 PSI
1/26 20:5:35, 5.9 PSI
1/26 20:5:39, 6.0 PSI
1/26 20:5:42, 6.0 PSI
1/26 20:5:45, 6.0 PSI
1/26 20:5:48, 6.0 PSI
1/26 20:5:51, 6.0 PSI
1/26 20:5:55, 6.1 PSI
1/26 20:5:58, 6.1 PSI
1/26 20:6:1, 6.0 PSI
1/26 20:6:4, 6.0 PSI
1/26 20:6:7, 6.0 PSI
1/26 20:6:11, 6.0 PSI
1/26 20:6:14, 6.0 PSI
1/26 20:6:17, 6.0 PSI
1/26 20:6:20, 5.9 PSI
1/26 20:6:23, 6.0 PSI
1/26 20:6:26, 6.0 PSI
1/26 20:6:30, 6.0 PSI
1/26 20:6:33, 6.0 PSI
1/26 20:6:36, 6.1 PSI
1/26 20:6:39, 6.1 PSI
1/26 20:6:42, 6.1 PSI
1/26 20:6:46, 6.1 PSI
1/26 20:6:49, 6.1 PSI
1/26 20:6:52, 6.1 PSI
1/26 20:6:55, 6.1 PSI
1/26 20:6:58, 6.1 PSI
1/26 20:7:2, 6.1 PSI
1/26 20:7:5, 6.1 PSI
1/26 20:7:8, 6.1 PSI
1/26 20:7:11, 6.1 PSI
1/26 20:7:14, 6.1 PSI
1/26 20:7:18, 6.1 PSI
1/26 20:7:21, 6.0 PSI
1/26 20:7:24, 6.1 PSI
1/26 20:7:27, 6.1 PSI
1/26 20:7:30, 6.1 PSI
1/26 20:7:34, 6.1 PSI
1/26 20:7:37, 6.1 PSI
1/26 20:7:40, 6.1 PSI
1/26 20:7:44, 6.1 PSI
1/26 20:7:47, 6.1 PSI
1/26 20:7:50, 6.1 PSI
1/26 20:7:53, 6.1 PSI
1/26 20:7:56, 6.1 PSI
1/26 20:8:0, 6.1 PSI
1/26 20:8:3, 6.2 PSI
1/26 20:8:6, 6.2 PSI
1/26 20:8:9, 6.2 PSI
1/26 20:8:12, 6.2 PSI
1/26 20:8:15, 6.2 PSI
1/26 20:8:19, 6.3 PSI
1/26 20:8:22, 6.2 PSI
1/26 20:8:25, 6.2 PSI
1/26 20:8:28, 6.2 PSI
1/26 20:8:31, 6.3 PSI
1/26 20:8:35, 6.3 PSI
1/26 20:8:38, 6.3 PSI
1/26 20:8:41, 6.4 PSI
1/26 20:8:44, 6.4 PSI
1/26 20:8:47, 6.4 PSI
1/26 20:8:51, 6.4 PSI
1/26 20:8:54, 6.4 PSI
1/26 20:8:57, 6.4 PSI
1/26 20:9:0, 6.4 PSI
1/26 20:9:3, 6.4 PSI
1/26 20:9:7, 6.4 PSI
1/26 20:9:10, 6.4 PSI
1/26 20:9:13, 6.4 PSI
1/26 20:9:16, 6.4 PSI
1/26 20:9:19, 6.4 PSI
1/26 20:9:23, 6.4 PSI
1/26 20:9:26, 6.4 PSI
1/26 20:9:29, 6.5 PSI
1/26 20:9:32, 6.5 PSI
1/26 20:9:35, 6.5 PSI
1/26 20:9:38, 6.5 PSI
1/26 20:9:42, 6.5 PSI
1/26 20:9:45, 6.5 PSI
1/26 20:9:48, 6.6 PSI
1/26 20:9:51, 6.6 PSI
1/26 20:9:54, 6.6 PSI
1/26 20:9:58, 6.6 PSI
1/26 20:10:1, 6.6 PSI
1/26 20:10:4, 6.7 PSI
1/26 20:10:7, 6.6 PSI
1/26 20:10:10, 6.7 PSI
1/26 20:10:14, 6.7 PSI
1/26 20:10:17, 6.7 PSI
1/26 20:10:20, 6.7 PSI
1/26 20:10:23, 6.6 PSI
1/26 20:10:26, 6.7 PSI
1/26 20:10:30, 6.7 PSI
1/26 20:10:33, 6.7 PSI
1/26 20:10:36, 6.7 PSI
1/26 20:10:39, 6.7 PSI
1/26 20:10:42, 6.7 PSI
1/26 20:10:46, 6.7 PSI
1/26 20:10:49, 6.7 PSI
1/26 20:10:52, 6.7 PSI
1/26 20:10:55, 6.7 PSI
1/26 20:10:58, 6.7 PSI
1/26 20:11:2, 6.7 PSI
1/26 20:11:5, 6.7 PSI
1/26 20:11:8, 6.7 PSI
1/26 20:11:11, 6.7 PSI
1/26 20:11:14, 6.7 PSI
1/26 20:11:18, 6.7 PSI
1/26 20:11:21, 6.7 PSI
1/26 20:11:24, 6.7 PSI
1/26 20:11:27, 6.8 PSI
1/26 20:11:30, 6.7 PSI
1/26 20:11:33, 6.7 PSI
1/26 20:11:37, 6.7 PSI
1/26 20:11:40, 6.7 PSI
1/26 20:11:43, 6.7 PSI
1/26 20:11:46, 6.7 PSI
1/26 20:11:49, 6.7 PSI
1/26 20:11:53, 6.7 PSI
1/26 20:11:56, 6.6 PSI
1/26 20:11:59, 6.6 PSI
1/26 20:12:2, 6.6 PSI
1/26 20:12:5, 6.6 PSI
1/26 20:12:9, 6.7 PSI
1/26 20:12:12, 6.7 PSI
1/26 20:12:15, 6.6 PSI
1/26 20:12:18, 6.6 PSI
1/26 20:12:21, 6.6 PSI
1/26 20:12:25, 6.6 PSI
1/26 20:12:28, 6.6 PSI
1/26 20:12:31, 6.6 PSI
1/26 20:12:34, 6.5 PSI
1/26 20:12:37, 6.4 PSI
1/26 20:12:41, 6.5 PSI
1/26 20:12:44, 6.4 PSI
1/26 20:12:47, 6.4 PSI
1/26 20:12:50, 6.4 PSI
1/26 20:12:53, 6.4 PSI
1/26 20:12:56, 6.4 PSI
1/26 20:13:0, 6.4 PSI
1/26 20:13:3, 6.4 PSI
1/26 20:13:6, 6.3 PSI
1/26 20:13:9, 6.3 PSI
1/26 20:13:12, 6.3 PSI
1/26 20:13:16, 6.3 PSI
1/26 20:13:19, 6.3 PSI
1/26 20:13:22, 6.3 PSI
1/26 20:13:25, 6.3 PSI
1/26 20:13:29, 6.3 PSI
1/26 20:13:32, 6.3 PSI
1/26 20:13:35, 6.2 PSI
1/26 20:13:38, 6.2 PSI
1/26 20:13:41, 6.2 PSI
1/26 20:13:45, 6.2 PSI
1/26 20:13:48, 6.2 PSI
1/26 20:13:51, 6.2 PSI
1/26 20:13:54, 6.2 PSI
1/26 20:13:57, 6.3 PSI
1/26 20:14:0, 6.3 PSI
1/26 20:14:4, 6.3 PSI
1/26 20:14:7, 6.3 PSI
1/26 20:14:10, 6.3 PSI
1/26 20:14:13, 6.3 PSI
1/26 20:14:17, 6.3 PSI
1/26 20:14:20, 6.3 PSI
1/26 20:14:23, 6.3 PSI
1/26 20:14:26, 6.3 PSI
1/26 20:14:29, 6.3 PSI
1/26 20:14:33, 6.3 PSI
1/26 20:14:36, 6.3 PSI
1/26 20:14:39, 6.3 PSI
1/26 20:14:42, 6.3 PSI
1/26 20:14:46, 6.3 PSI
1/26 20:14:49, 6.2 PSI
1/26 20:14:52, 6.4 PSI
1/26 20:14:55, 6.3 PSI
1/26 20:14:58, 6.3 PSI
1/26 20:15:2, 6.3 PSI
1/26 20:15:5, 6.4 PSI
1/26 20:15:8, 6.4 PSI
1/26 20:15:11, 6.4 PSI
1/26 20:15:14, 6.4 PSI
1/26 20:15:18, 6.4 PSI
1/26 20:15:21, 6.4 PSI
1/26 20:15:24, 6.4 PSI
1/26 20:15:27, 6.4 PSI
1/26 20:15:30, 6.4 PSI
1/26 20:15:33, 6.4 PSI
1/26 20:15:37, 6.4 PSI
1/26 20:15:40, 6.4 PSI
1/26 20:15:43, 6.5 PSI
1/26 20:15:46, 6.5 PSI
1/26 20:15:49, 3.0 PSI
1/26 20:15:53, 3.2 PSI
1/26 20:15:56, 3.0 PSI
1/26 20:15:59, 3.0 PSI
1/26 20:16:2, 3.0 PSI
1/26 20:16:5, 3.0 PSI
1/26 20:16:9, 3.0 PSI
1/26 20:16:12, 2.7 PSI
1/26 20:16:15, 5.8 PSI
1/26 20:16:18, 6.6 PSI
1/26 20:16:21, 6.7 PSI
1/26 20:16:25, 6.7 PSI
1/26 20:16:28, 6.7 PSI
1/26 20:16:31, 6.7 PSI
1/26 20:16:34, 6.7 PSI
1/26 20:16:37, 6.8 PSI
1/26 20:16:41, 6.8 PSI
1/26 20:16:44, 6.8 PSI
1/26 20:16:47, 6.8 PSI
1/26 20:16:50, 6.8 PSI
1/26 20:16:53, 6.8 PSI
1/26 20:16:57, 6.8 PSI
1/26 20:17:0, 6.8 PSI
1/26 20:17:3, 7.0 PSI
1/26 20:17:6, 6.9 PSI
1/26 20:17:9, 6.9 PSI
1/26 20:17:12, 7.0 PSI
1/26 20:17:16, 7.0 PSI
1/26 20:17:19, 7.0 PSI
1/26 20:17:22, 7.0 PSI
1/26 20:17:25, 7.0 PSI
1/26 20:17:28, 7.0 PSI
1/26 20:17:32, 6.9 PSI
1/26 20:17:35, 7.0 PSI
1/26 20:17:38, 7.0 PSI
1/26 20:17:41, 7.0 PSI
1/26 20:17:44, 7.0 PSI
1/26 20:17:48, 3.7 PSI
1/26 20:17:51, 3.0 PSI
1/26 20:17:54, 5.0 PSI
1/26 20:17:57, 6.7 PSI
1/26 20:18:0, 7.0 PSI
1/26 20:18:4, 7.0 PSI
1/26 20:18:7, 7.0 PSI
1/26 20:18:10, 7.0 PSI
1/26 20:18:13, 7.0 PSI
1/26 20:18:16, 7.0 PSI
1/26 20:18:20, 7.0 PSI
1/26 20:18:23, 7.0 PSI
1/26 20:18:26, 7.0 PSI
1/26 20:18:29, 7.0 PSI
1/26 20:18:32, 7.0 PSI
1/26 20:18:35, 7.0 PSI
1/26 20:18:39, 7.0 PSI
1/26 20:18:42, 6.9 PSI
1/26 20:18:45, 7.0 PSI
1/26 20:18:48, 6.9 PSI
1/26 20:18:51, 6.9 PSI
1/26 20:18:55, 7.0 PSI
1/26 20:18:58, 7.0 PSI
1/26 20:19:1, 7.0 PSI
1/26 20:19:4, 6.9 PSI
1/26 20:19:7, 7.0 PSI
1/26 20:19:11, 6.9 PSI
1/26 20:19:14, 5.8 PSI
1/26 20:19:17, 4.3 PSI
1/26 20:19:20, 4.2 PSI
1/26 20:19:23, 4.2 PSI
1/26 20:19:27, 4.2 PSI
1/26 20:19:30, 4.2 PSI
1/26 20:19:33, 4.2 PSI
1/26 20:19:36, 4.7 PSI
1/26 20:19:39, 6.5 PSI
1/26 20:19:43, 6.9 PSI
1/26 20:19:46, 7.0 PSI
1/26 20:19:49, 6.9 PSI
1/26 20:19:52, 7.0 PSI
1/26 20:19:55, 7.0 PSI
1/26 20:19:58, 7.0 PSI
1/26 20:20:2, 7.0 PSI
1/26 20:20:5, 7.0 PSI
1/26 20:20:8, 7.0 PSI
1/26 20:20:11, 7.0 PSI
1/26 20:20:14, 7.0 PSI
1/26 20:20:18, 7.0 PSI
1/26 20:20:21, 7.0 PSI
1/26 20:20:24, 7.0 PSI
1/26 20:20:27, 7.0 PSI
1/26 20:20:30, 7.0 PSI
1/26 20:20:34, 7.0 PSI
1/26 20:20:37, 7.0 PSI
1/26 20:20:40, 7.0 PSI
1/26 20:20:43, 7.0 PSI
1/26 20:20:46, 7.1 PSI
1/26 20:20:50, 7.1 PSI
1/26 20:20:53, 7.1 PSI
1/26 20:20:56, 7.0 PSI
1/26 20:20:59, 6.9 PSI
1/26 20:21:2, 6.9 PSI
1/26 20:21:6, 7.0 PSI
1/26 20:21:9, 7.0 PSI
1/26 20:21:12, 6.9 PSI
1/26 20:21:15, 6.9 PSI
1/26 20:21:18, 6.9 PSI
1/26 20:21:22, 6.8 PSI
1/26 20:21:25, 6.8 PSI
1/26 20:21:28, 6.8 PSI
1/26 20:21:31, 6.8 PSI
1/26 20:21:35, 6.7 PSI
1/26 20:21:38, 6.7 PSI
1/26 20:21:41, 6.7 PSI
1/26 20:21:44, 6.7 PSI
1/26 20:21:47, 6.7 PSI
1/26 20:21:51, 6.7 PSI
1/26 20:21:54, 6.7 PSI
1/26 20:21:57, 6.7 PSI
1/26 20:22:0, 6.7 PSI
1/26 20:22:3, 6.7 PSI
1/26 20:22:7, 6.7 PSI
1/26 20:22:10, 6.7 PSI
1/26 20:22:13, 6.6 PSI
1/26 20:22:16, 6.6 PSI
1/26 20:22:19, 6.7 PSI
1/26 20:22:23, 6.6 PSI
1/26 20:22:26, 6.7 PSI
1/26 20:22:29, 6.7 PSI
1/26 20:22:32, 6.6 PSI
1/26 20:22:35, 6.6 PSI
1/26 20:22:39, 6.7 PSI
1/26 20:22:42, 6.7 PSI
1/26 20:22:45, 6.7 PSI
1/26 20:22:48, 6.7 PSI
1/26 20:22:51, 6.7 PSI
1/26 20:22:54, 6.7 PSI
1/26 20:22:58, 6.7 PSI
1/26 20:23:1, 6.8 PSI
1/26 20:23:4, 6.8 PSI
1/26 20:23:7, 6.8 PSI
1/26 20:23:10, 6.9 PSI
1/26 20:23:14, 6.9 PSI
1/26 20:23:17, 6.9 PSI
1/26 20:23:20, 6.9 PSI
1/26 20:23:23, 7.0 PSI
1/26 20:23:26, 7.0 PSI
1/26 20:23:30, 6.9 PSI
1/26 20:23:33, 7.0 PSI
1/26 20:23:36, 7.0 PSI
1/26 20:23:39, 7.0 PSI
1/26 20:23:42, 7.0 PSI
1/26 20:23:46, 7.0 PSI
1/26 20:23:49, 7.0 PSI
1/26 20:23:52, 7.0 PSI
1/26 20:23:55, 7.0 PSI
1/26 20:23:58, 7.0 PSI
1/26 20:24:2, 7.0 PSI
1/26 20:24:5, 7.0 PSI
1/26 20:24:8, 7.0 PSI
1/26 20:24:11, 7.0 PSI
1/26 20:24:14, 7.0 PSI
1/26 20:24:17, 7.0 PSI
1/26 20:24:21, 7.0 PSI
1/26 20:24:24, 7.0 PSI
1/26 20:24:27, 7.0 PSI
1/26 20:24:30, 7.0 PSI
1/26 20:24:33, 7.0 PSI
1/26 20:24:37, 7.1 PSI
1/26 20:24:40, 7.0 PSI
1/26 20:24:43, 7.0 PSI
1/26 20:24:46, 7.0 PSI
1/26 20:24:49, 7.1 PSI
1/26 20:24:53, 7.1 PSI
1/26 20:24:56, 7.1 PSI
1/26 20:24:59, 7.2 PSI
1/26 20:25:2, 7.2 PSI
1/26 20:25:5, 7.2 PSI
1/26 20:25:9, 7.2 PSI
1/26 20:25:12, 7.3 PSI
1/26 20:25:15, 7.2 PSI
1/26 20:25:18, 7.3 PSI
1/26 20:25:21, 7.2 PSI
1/26 20:25:25, 7.2 PSI
1/26 20:25:28, 7.1 PSI
1/26 20:25:31, 7.2 PSI
1/26 20:25:34, 7.2 PSI
1/26 20:25:37, 7.1 PSI
1/26 20:25:40, 7.2 PSI
1/26 20:25:44, 7.2 PSI
1/26 20:25:47, 7.2 PSI
1/26 20:25:50, 7.2 PSI
1/26 20:25:53, 7.2 PSI
1/26 20:25:56, 7.2 PSI
1/26 20:26:0, 7.3 PSI
1/26 20:26:3, 7.2 PSI
1/26 20:26:6, 7.2 PSI
1/26 20:26:9, 7.1 PSI
1/26 20:26:12, 7.2 PSI
1/26 20:26:16, 7.1 PSI
1/26 20:26:19, 7.2 PSI
1/26 20:26:22, 7.1 PSI
1/26 20:26:25, 7.1 PSI
1/26 20:26:28, 7.1 PSI
1/26 20:26:32, 7.1 PSI
1/26 20:26:35, 7.1 PSI
1/26 20:26:38, 7.1 PSI
1/26 20:26:41, 7.0 PSI
1/26 20:26:44, 7.0 PSI
1/26 20:26:48, 7.1 PSI
1/26 20:26:51, 7.1 PSI
1/26 20:26:54, 7.0 PSI
1/26 20:26:57, 7.1 PSI
1/26 20:27:0, 7.1 PSI
1/26 20:27:3, 7.0 PSI
1/26 20:27:7, 7.0 PSI
1/26 20:27:10, 7.0 PSI
1/26 20:27:13, 7.0 PSI
1/26 20:27:16, 7.0 PSI
1/26 20:27:20, 7.0 PSI
1/26 20:27:23, 7.0 PSI
1/26 20:27:26, 7.0 PSI
1/26 20:27:29, 7.0 PSI
1/26 20:27:32, 7.1 PSI
1/26 20:27:36, 7.0 PSI
1/26 20:27:39, 7.1 PSI
1/26 20:27:42, 7.0 PSI
1/26 20:27:45, 7.0 PSI
1/26 20:27:48, 7.0 PSI
1/26 20:27:52, 7.0 PSI
1/26 20:27:55, 7.0 PSI
1/26 20:27:58, 7.0 PSI
1/26 20:28:1, 7.0 PSI
1/26 20:28:4, 7.0 PSI
1/26 20:28:7, 7.1 PSI
1/26 20:28:11, 7.1 PSI
1/26 20:28:14, 7.1 PSI
1/26 20:28:17, 7.1 PSI
1/26 20:28:21, 7.1 PSI
1/26 20:28:24, 7.1 PSI
1/26 20:28:27, 7.1 PSI
1/26 20:28:30, 7.1 PSI
1/26 20:28:33, 7.2 PSI
1/26 20:28:36, 7.2 PSI
1/26 20:28:40, 7.1 PSI
1/26 20:28:43, 7.1 PSI
1/26 20:28:46, 7.1 PSI
1/26 20:28:49, 7.1 PSI
1/26 20:28:52, 7.1 PSI
1/26 20:28:56, 7.1 PSI
1/26 20:28:59, 7.1 PSI
1/26 20:29:2, 7.1 PSI
1/26 20:29:5, 7.1 PSI
1/26 20:29:8, 7.1 PSI
1/26 20:29:12, 7.1 PSI
1/26 20:29:15, 7.1 PSI
1/26 20:29:18, 7.1 PSI
1/26 20:29:21, 7.1 PSI
1/26 20:29:24, 7.1 PSI
1/26 20:29:28, 7.4 PSI
1/26 20:29:31, 7.2 PSI
1/26 20:29:34, 7.2 PSI
1/26 20:29:37, 7.2 PSI
1/26 20:29:40, 7.2 PSI
1/26 20:29:44, 7.2 PSI
1/26 20:29:47, 7.3 PSI
1/26 20:29:50, 7.3 PSI
1/26 20:29:53, 7.3 PSI
1/26 20:29:56, 7.3 PSI
1/26 20:29:59, 7.3 PSI
1/26 20:30:3, 7.4 PSI
1/26 20:30:6, 7.4 PSI
1/26 20:30:9, 7.5 PSI
1/26 20:30:12, 7.5 PSI
1/26 20:30:15, 7.5 PSI
1/26 20:30:19, 7.5 PSI
1/26 20:30:22, 7.6 PSI
1/26 20:30:25, 7.6 PSI
1/26 20:30:28, 7.5 PSI
1/26 20:30:31, 7.5 PSI
1/26 20:30:35, 7.5 PSI
1/26 20:30:38, 7.5 PSI
1/26 20:30:41, 7.5 PSI
1/26 20:30:44, 7.5 PSI
1/26 20:30:47, 7.5 PSI
1/26 20:30:51, 7.5 PSI
1/26 20:30:54, 7.5 PSI
1/26 20:30:57, 7.5 PSI
1/26 20:31:0, 7.6 PSI
1/26 20:31:3, 7.6 PSI
1/26 20:31:6, 7.6 PSI
1/26 20:31:10, 7.6 PSI
1/26 20:31:13, 7.6 PSI
1/26 20:31:16, 7.6 PSI
1/26 20:31:19, 7.6 PSI
1/26 20:31:22, 5.2 PSI
1/26 20:31:26, 4.9 PSI
1/26 20:31:29, 4.7 PSI
1/26 20:31:32, 4.7 PSI
1/26 20:31:35, 4.7 PSI
1/26 20:31:38, 4.7 PSI
1/26 20:31:42, 4.7 PSI
1/26 20:31:45, 4.7 PSI
1/26 20:31:48, 4.7 PSI
1/26 20:31:51, 4.7 PSI
1/26 20:31:54, 4.7 PSI
1/26 20:31:58, 4.7 PSI
1/26 20:32:1, 4.7 PSI
1/26 20:32:4, 4.7 PSI
1/26 20:32:7, 4.7 PSI
1/26 20:32:10, 4.7 PSI
1/26 20:32:14, 4.6 PSI
1/26 20:32:17, 4.7 PSI
1/26 20:32:20, 4.7 PSI
1/26 20:32:23, 4.7 PSI
1/26 20:32:26, 4.7 PSI
1/26 20:32:29, 4.7 PSI
1/26 20:32:33, 4.7 PSI
1/26 20:32:36, 4.7 PSI
